"id";"bidding_table_titles_list";"bidding_table_items_list"
16;"网页链接|项目编号|序号|标的名称|标段号|标段名称|预测金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280555.jhtml|0002200000077540|1|梅州供电局2021年中低压配电网前期计划项目可行性研究以及勘察设计服务框架招标|标段1|城区、丰顺、梅县、平远供电局2021年中低压配电网基建前期计划项目、业扩配套及紧急项目|1825|/|5"
17;"网页链接|项目编号|序号|项目单位|标的名称|标包名称|规模/数量招标内容（简要）|标书费（元）|最高限价（万元）|非物资类要求|合同结算方式|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200247955.jhtml|0002200000063177|项目工期|项目实施地点"
18;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200247966.jhtml|0002200000065627|1|云南电网有限责任公司昆明禄劝供电局|1|云南电网有限责任公司昆明禄劝供电局|82.977|/|自合同签订之日起三年||600|8297|必须要高于评估价27.659"
19;"网页链接|项目编号|标的序号|标的名称|分包名称|估算金额|最高限价|分包序号|最大中标包数|工期|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200247994.jhtml|0002200000066529|1|状态检测器（配电线路）|状态检测器（配电线路）|310|/|1|/|/|200|不收取|"
20;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200248035.jhtml|0002200000046126|1|无人机类|3-5|多旋翼配网线路巡检无人机链路中继系统|合同签订之日起至|桂林供电局|200|5000|无"
21;"网页链接|项目编号|序号|标的名称|标段编号|标段名称|招标文件收取费用（元）|备注";"https://www.bidding.csg.cn//zbgg/1200248037.jhtml|0002200000064935|1|110kV|1-1|220kv|250|"
22;"网页链接|项目编号|序号|标的名称|标段编号|标段名称|招标文件收取费用（元）|备注";"https://www.bidding.csg.cn//zbgg/1200248038.jhtml|0002200000065044|1|110kV|1-1|500kV|250|"
23;"网页链接|项目编号|序号|标的名称|标段编号|标包名称|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200248044.jhtml|0002200000066714|1|标|1|包|/|自签订合同之日起至|瑞丽供电局|1200|15000|"
24;"网页链接|项目编号|标的序号|标的名称|分包名称|最高限价|分包序号|最大中标包数|工期|招标文件收取费用（元）|保证金";"https://www.bidding.csg.cn//zbgg/1200248048.jhtml|0002200000064412|1|红河供电局|红河供电局|/|1|1|自下达中标通知至|1000|40000"
25;"网页链接|项目编号|标的序号|标的名称|分包名称|中标比例|最大中标包数|招标文件收取费用（元）|保证金(元)";"https://www.bidding.csg.cn//zbgg/1200247918.jhtml|0002200000065895|1|标3：通信电源线|包1：通信电源线（60%）|60%|1|1000|10000"
26;"网页链接|项目编号|序号|标的名称|标段号|标段名称|预测金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280560.jhtml|0002200000077796|1|广东电网有限责任公司湛江供电局2021年中低压配电网前期计划项目可行性研究以及勘察设计服务框架招标|标段1|（遂溪、徐闻）供电局2021年中低压配电网基建常规前期计划项目、业扩配套及紧急项目|582|/|5"
27;"网页链接|项目编号|序号|标的名称|标段号|标段名称|预测金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280564.jhtml|0002200000077485|1|广东电网有限责任公司肇庆供电局2021年中低压配电网前期计划项目可行性研究以及勘察设计服务框架招标|标段1|端州区、大旺区、高要区、四会市、怀集县供电局2021年中低压配电网基建前期计划项目、业扩配套及紧急项目|1350|/|5"
28;"网页链接|项目编号|序号|标的名称|标段号|标段名称|预测金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280565.jhtml|0002200000077761|1|广东电网有限责任公司茂名供电局2021年中低压配电网前期计划项目可行性研究以及勘察设计服务框架招标|标段1|茂南供电局、高州供电局、茂港供电局2021年中低压配电网基建前期计划项目、业扩配套及紧急项目|700|/|5"
29;"网页链接|项目编号|序号|标的名称|标段号|标段名称|预测金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280569.jhtml|0002200000077623|1|广东电网有限责任公司汕尾供电局2021年中低压配电网前期计划项目可行性研究以及勘察设计服务框架招标|标段1|汕尾城区、红海湾、陆河供电局2021年中低压配电网基建前期计划项目、业扩配套及紧急项目|1080|/|5"
30;"网页链接|项目编号|序号|标的名称|标段号|标段名称|预测金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280572.jhtml|0002200000077833|1|广东电网有限责任公司云浮供电局2021年中低压配电网前期计划项目可行性研究以及勘察设计服务框架招标|标段1|云浮云城供电局2021年中低压配电网基建前期计划项目、业扩配套及紧急项目|800|不收取|5"
31;"网页链接|项目编号|序号|标的名称|标段号|标段名称|预测金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280574.jhtml|0002200000077529|1|广东电网有限责任公司珠海供电局2021年中低压配电网前期计划项目可行性研究以及勘察设计服务框架招标|标段1|横琴供电局2021年中低压配电网基建前期计划项目、业扩配套及紧急项目|550|不收取|5"
32;"网页链接|项目编号|序号|标的名称|标段号|标段名称|预测金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280575.jhtml|0002200000077685|1|河源供电局2021年中低压配电网前期计划项目可行性研究以及勘察设计服务框架招标|标段1|河源供电局2021年20kV及以下配电网基建前期计划项目（含年中新增项目）、河源供电局2021年业扩配套及紧急项目|1996|/|5"
33;"网页链接|项目编号|标段号|预计采购金额（万元）|最大中标数量|标段名称|标书费（元）|保证金（元）";"https://www.bidding.csg.cn//zbgg/1200280579.jhtml|0002200000076717|1|505.70 |1|茂名供电局2021年中低压配电网预安排项目（含业扩配套、紧急等备用金项目、常规项目）监理|/|50000"
34;"网页链接|项目编号|标的序号|标的名称|标包名称|估算金额（万元）|最高限价（万元）|最大中标包数|投标保证金（元）|备注";"https://www.bidding.csg.cn//zbgg/1200280580.jhtml|0002200000077280|1|电缆防火防爆盒|标包1|140|140|/|不收取|"
35;"网页链接|项目编号|序号|标的|预计采购金额（万元）|标包号|标的金额（万元）|最高限价(万元)";"https://www.bidding.csg.cn//zbgg/1200280492.jhtml|没有项目编号|1|广州城市用电服务有限公司2021年外派点及本部办公楼日常维修采购|20|1|20|无"
36;"网页链接|项目编号|序号|标的|概算金额（万元）|最大中标数量|标包号|标包名称|标包金额（万元）|工期|最高限价(万元)|是否特殊包|招标文件收取费用（元）|投标保证金(元)";"https://www.bidding.csg.cn//zbgg/1200280480.jhtml|0002200000078357|1|广州供电局110千伏芦湾变电站智能电网5G试点应用服务|132.28|1|1|广州供电局110千伏芦湾变电站智能电网5G试点应用服务|132.28|自合同签订之日起至项目竣工结算（具体服务期限以签订合同为准）|132.28|否|/|10000"
37;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280523.jhtml|0002200000078328|1|深圳供电局有限公司|1|深圳供电局有限公司|157.726|157.726|服务有效期：自合同签订之日起至|深圳供电局有限公司|/|/|深圳供电局有限公司"
38;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280507.jhtml|0002200000074037|1|面向电力监控系统的动静态主动度量安全免疫系统研发|3|面向电力监控系统的动静态主动度量安全免疫系统研发|215|215|合同签订后||||面向电力监控系统的动静态主动度量安全免疫系统研发"
39;"网页链接|项目编号|序号|标的名称|最大中标数量|标段编号|标段名称|备注";"https://www.bidding.csg.cn//zbgg/1200280514.jhtml|0002200000075368|1|35kV|3|1-1|良庆区|"
40;"网页链接|项目编号|序号|标的名称|标段编号|标段名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280547.jhtml|0002200000077792|1|老挝南塔河|1|老挝南塔河|/|/|17（建设工期|老挝南塔河|不收取|不收取|无"
41;"网页链接|项目编号|序号|标的名称|标段编号|标段名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280548.jhtml|0002200000077792|1|老挝南塔河|1|老挝南塔河|/|/|17（建设工期|老挝南塔河|不收取|不收取|无"
42;"网页链接|项目编号|序号|品类|标的|标包号|标包名称|标包金额（万元）|工期|最高限价(万元)|招标文件收取费用（元）|投标保证金(元)";"https://www.bidding.csg.cn//zbgg/1200280550.jhtml|0002200000078339|1|高压电缆护层环流在线监测系统|高压电缆护层环流在线监测系统|1|高压电缆护层环流在线监测系统【1】|118.375795|/|/|/|10000"
43;"网页链接|项目编号|标的序号|标的名称|分包名称|最高限价|分包序号|规格型号|数量(套)|交货期|标书款(|保证金|所属站点";"https://www.bidding.csg.cn//zbgg/1200280447.jhtml|0002200000077495|1|接地极在线监测系统|接地极在线监测系统【|/|1| 电缆在线测温系统、图像监视系统、电缆直流电流测量系统|1|2021|不收取|10000|龙门站"
44;"网页链接|项目编号|序号|标的名称|标包名称|标包号|物资名称|规格型号|数量（米）|所属站点|最高限价(万元)|交货期|招标文件收取费用（元）|保证金(元)";"https://www.bidding.csg.cn//zbgg/1200280398.jhtml|0002200000078362|1|管型母线|管型母线【1】|1|管型母线|LDRE-φ250/230|42|花都站|/|详见开标一览表|/|/"
45;"网页链接|项目编号|序号|标的|最大中标数量|标包号|标包名称|交货期|最高限价(万元)|保证金(元)";"https://www.bidding.csg.cn//zbgg/1200280453.jhtml|0002200000078578|1|标1.电梯|1|1|包1.电梯|2021年3月1日|/|50000"
46;"网页链接|项目编号|序号|标段编号（标段号）|标段名称|建设单位|发包预算价(万元)|最高限价(万元)|工期|投标保证金金额（万元）|备注";"https://www.bidding.csg.cn//zbgg/1200280464.jhtml|没有项目编号|1|1|海口220kV长滨输变电新建工程等2个项目可研及设计|建设分公司|1290|无|以合同要求为准|5|"
47;"网页链接|项目编号|标的名称|标段编号|标段名称|标包|最大中标包数|项目建设单位|招标文件收取费用（元）|保证金(元)|最高限价(万元)|工期";"https://www.bidding.csg.cn//zbgg/1200280465.jhtml|0002200000078677|2021年-2022年10kV及以下配网带电作业|一|标1.滇中片区一|包1：昆明五华、盘龙、西山、官渡片区|  1|昆明供电局|不收取|100000|有单项最高限价（详见附件1）|自框架协议签订之日起至2022年12月31日"
48;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价|工期|招标文件收取费用（元）|投标保证金";"https://www.bidding.csg.cn//zbgg/1200280466.jhtml|0002200000078504|1|生产域保护版本等功能数据迁移及组件研发|1|生产域保护版本等功能数据迁移及组件研发|220.5|合同签订日|不收取"
49;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280346.jhtml|0002200000077931|1|南网数研院主网|1|南网数研院主网|297.25|297.25|合同签订之日起六个月|南网数研院|不收取|/|工期以合同签署日期为准"
50;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280337.jhtml|0002200000077938|1|深圳供电局有限公司|1|深圳供电局有限公司|86.23|无|深圳供电局有限公司|不收取|不收取|"
51;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280384.jhtml|0002200000078335|1|深圳供电局有限公司附建式变电站建筑成本回购原则研究服务|1|深圳供电局有限公司附建式变电站建筑成本回购原则研究服务|79.225|79.225|自合同签订之日起至|深圳供电局有限公司|/|/|1234567"
52;"网页链接|项目编号|标的序号|标的名称|分包名称|估算金额(万元)|最高限价( 万元)|分包序号|最大中标包数|工期|招标文件收取费用（元）|保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200280408.jhtml|0002200000078507|1|广东电网有限责任公司省级地区仓库（茂名）配网设备智能检测平台系统购置及安装|广东电网有限责任公司省级地区仓库（茂名）配网设备智能检测平台系统购置及安装|2864.31|2864.31|1|1|/|本项目不收取|50000|"
53;"网页链接|项目编号|标的序号|标的名称|标包名称|概算金额|最高限价|标包号|最大中标包数|中标比例|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280387.jhtml|0006200000077386|1|110kV备自投装置|包1|300|300|1|1|100%|不收取|10000|本项目分为2个标的，不可兼中。"
54;"网页链接|项目编号|序号|标段名称|建设单位|发包预算价(万元)|最高投标费率(%)|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280389.jhtml|0002200000078097|1|清远供电局2021年度10kV-220kV输配电线路资金补偿类迁改项目EPC总承包|广东电网有限责任公司清远供电|14600|100|无|40"
55;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|建设单位|最高投标费率|标书费（元）|投标保证金（元）|备注";"https://www.bidding.csg.cn//zbgg/1200280416.jhtml|0002200000078646|1|韶关供电局|01|韶关供电局|771.3|/|广东电网有限责任公司韶关供电局|100%|/|/|"
56;"网页链接|项目编号|序号|标的|标包编号|标包名称|预计采购金额(万元)|最高投标费率(%)|招标文件收取费用（元）|投标保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280425.jhtml|0002200000078555|1|潮州供电局2021年计算机终端及打印机日常维修|1|潮州供电局2021年计算机终端及打印机日常维修|116.2665|100|不收取|不收取"
57;"网页链接|项目编号|序号|品类|标的|概算金额（万元）|最大中标数量|标包号|标包名称|中标比例|标包金额（万元）|工期|最高限价(万元)|是否特殊包|招标文件收取费用（元）|投标保证金(元)";"https://www.bidding.csg.cn//zbgg/1200280433.jhtml|0002200000076155|1|220kV备用电源自动投入装置|220kV备用电源自动投入装置|300|1|1|标包1|100%|300|/|/|否|不收取|40000"
58;"网页链接|项目编号|序号|品类|标的名称|标包名称|最高限价（万元）|最大中标数量|标包号|计划交货期|投标保证金（元）|标书费（元）";"https://www.bidding.csg.cn//zbgg/1200280325.jhtml|0002200000078532|1|二级物资(B类)目录|外置式光路子系统|光放系统|198.8|/|01|自合同签订之日起1个月内交货|10000.00|不收取"
59;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|招标文件收取费用（元）|保证金（元）|备注";"https://www.bidding.csg.cn//zbgg/1200280326.jhtml|0002200000078022|1|2020|1|配网作业过程|325.41|325.41|自合同签订之日起至|不收取|10000|/"
60;"网页链接|项目编号|项目名称|报名费（元）";"https://www.bidding.csg.cn//zbgg/1200280308.jhtml|没有项目编号|广州电力设计院有限公司2021-2022年度220kV以上电压等级测量专业分包项目|200"
61;"网页链接|项目编号|序号|标的名称|标包编号|标包名称|估算金额（万元）|最高限价(万元)|报价方式|工期|报价要求|标包交付";"https://www.bidding.csg.cn//zbgg/1200280328.jhtml|0002200000078095|1|第一标的：南方电网贵州电动汽车服务有限公司2021-2022年充电设施及平台运维服务外包项目框架招标|1|【1】充电设施及平台运维服务（贵阳、贵安片区）|137.172|2.727|综合单价|自合同签订之日起1年止|投标报价大于或等于最高限价的100%,或分项报价大于或等于分项最高限价的100%，作否决投标处理。投标报价报价小于或等于最高限价85%，或分项报价小于或等于分项最高限价的85%，需附成本分析报告，否则做否决投标处理。|内容包含配置运维（巡检）人员对我司分布在贵阳、贵安片区各县（市、区）的519台充电桩提供运维服务。中标后的合同期内，充电桩的数量可能会因业主方情况而增减,届时需根据各投标方所报单价及实际工程量据实结算，详见合同范本。"
62;"网页链接|项目编号|序号|标的|标段编号|标段名称|估算金额（万元）|最高限价(万元)|工期|报价方式|报价要求|标段交付";"https://www.bidding.csg.cn//zbgg/1200280329.jhtml|0002200000077231|1|第一标的：南方电网贵州电动汽车服务有限公司2021年-2022年充电设施工程建设项目可行性研究和勘察设计框架招标|1|【1】可行性研究和勘察设计|100|100|合同签订之日起至1年|下浮率|报价下浮率小于10%，作否决投标处理。报价下浮率大于25%，需附成本分析报告，否则作否决投标处理。投标人所报投标下浮率（正数），采用百分比形式，以四舍五入精确到小数点后两位。|本次招标项目为南方电网贵州电动汽车服务有限公司2021年-2022年充电设施工程建设项目可行性研究和勘察设计框架招标，包括可行性研究、勘察、施工图设计（含施工图预算编制）、竣工图编制等各阶段的相关内容和服务。"
63;"网页链接|项目编号|序号|标的|概算金额（万元）|标包号|标包名称|标包金额（万元）|最高限价(万元)|中标比例|交货期|最大中标数量|报价方式|报价说明";"https://www.bidding.csg.cn//zbgg/1200280330.jhtml|0002200000077975|1|10KV预装式变电站（315-1600kVA）|450|1|【1】10KV预装式变电站（315-1600kVA）|450|/|100%|自签订合同之日起至一年|/|单价+总价|各标包的投标人须充分考虑合同有限期内原材料价格、国家相关政策的变化及投标人自身情况等因素，合理测算投标报价。中标后按中标价格进行供货，在合同有限期内中标价格不予调整。"
64;"网页链接|项目编号|标的序号|标的名称|概算金额（万元）|标包号|标包名称|暂定发包金额（万元）|中标人|标包份额";"https://www.bidding.csg.cn//zbgg/1200280331.jhtml|没有项目编号|1|2021-2022年度220kV及以下电压等级测量技术服务项目|1650|标包1|架空线路测量技术服务|600|第一名中标人|50%-80%"
65;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|招标文件收取费用（元）|保证金";"https://www.bidding.csg.cn//zbgg/1200280334.jhtml|0002200000076670|1|标的|1|标包|2056.626|/|/|本项目不收取|本项目不收取"
66;"网页链接|项目编号|序号|品类|标的|概算金额（万元）|最大中标数量|标包号|标包名称|中标比例|标包金额（万元）|工期|最高限价(万元)|是否特殊包|招标文件收取费用（元）|投标保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200280314.jhtml|0002200000076202|1|10kV站用变压器|10kV干式电力站用变压器|250|1|1|标包1|100%|250|/|/|否|无|40000|无"
67;"网页链接|项目编号|序号|标的名称|标包名称|预计采购金额（万元）|标书费（元）|保证金（万元）";"https://www.bidding.csg.cn//zbgg/1200280273.jhtml|0002200000078575|1|韶关供电局|韶关供电局|3000|/|/"
68;"网页链接|项目编号|标的序号|标的名称|标包名称|概算金额|最高限价|标包号|最大中标包数|工期|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280275.jhtml|0002200000078543|1|标的|标的|254|254|1|/|/|不收取|10000|"
69;"网页链接|项目编号|标的序号|标的名称|分包名称|估算金额|最高限价|分包序号|最大中标包数|工期|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280295.jhtml|0002200000078218|1|昆明供电局|昆明供电局|120|/|1|/|/|不收取|12000|"
70;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|预算金额|最高投标费率(%)|框架招标结果有效期（服务期）|项目建设单位|招标文件收取费用（元）|投标保证金";"https://www.bidding.csg.cn//zbgg/1200280297.jhtml|0002200000078251|1|2021-2022|1|2021-2022|1000|100|自签订合同之日起截止至2022年12月31日，具体以实际签订合同为准|广东电网有限责任公司东莞供电局|不收取|无需保证金"
71;"网页链接|项目编号|序号|标包|概算金额（万元）（含税）|标包号|标包金额（万元）（含税）|最高限价(万元)|备注";"https://www.bidding.csg.cn//zbgg/1200280300.jhtml|没有项目编号|1|广州电力设计院有限公司2021年度电力隧道设计咨询服务|800|1|800|/|"
72;"网页链接|项目编号|标的序号|标的名称|概算金额（万元）（含税）|标包号|标包名称|暂定发包金额（万元）（含税）|标包份额";"https://www.bidding.csg.cn//zbgg/1200280302.jhtml|没有项目编号|1|2021-2022年度220kV及以下电压等级勘察技术服务项目|1980|标包1|110kV电压等级勘察技术服务|850|第一中标人|50%-80%"
73;"网页链接|项目编号|序号|标包|概算金额（万元）（含税）|标包号|标包金额（万元）（含税）|最高限价(万元)|备注";"https://www.bidding.csg.cn//zbgg/1200280281.jhtml|没有项目编号|1|广州电力设计院有限公司2021-2022年度220kV以上电压等级勘察专业分包项目|200|1|200|/|"
74;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280323.jhtml|0002200000076524|1|密钥管理系统软件研发|1|密钥管理系统软件研发|200|200|6|南方电网数字电网研究院有限公司|不收取|/|"
75;"网页链接|项目编号|序号|标的名称|标段号|标段/项目名称|最大中标数量|项目总投资（万元）|最高限价（万元）|备注|标书费（元）|投标保证金（元）";"https://www.bidding.csg.cn//zbgg/1200280324.jhtml|0002200000078475|1|佛山110千伏南海长海电厂接入系统工程（不含通信部分）施工|1|佛山110千伏南海长海电厂接入系统工程（不含通信部分）施工|本次招标分为2个标的，合计2个标段；标的之间投标单位可兼中|15011|7472|初设招标，工期详见附表|/|100000"
76;"网页链接|项目编号|标的序号|标的名称|分包名称|最高限价|分包序号|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280232.jhtml|0002200000076545|1|220kV|包一、|25.21|1|不收取|14700|"
77;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价|工期|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280235.jhtml|0002200000076528|1|文山供电局|01|包一、文山供电局|73.769|自签订合同之日起至|不收取|26000|"
